instance_id;duration;total_cost;resolved_by;transitions;identifieed;expected_identified;alt_identified;identified;file_identified;found_in_search;tokens;expanded_imports;expanded_related;expanded_small_classes;expanded_tokens;iterations
django__django-16041;11,276909828186035;0,05157500000000001;7;5;;1,0;2,0;1,0;1,0;1,0;341;True;True;True;1073;2
django__django-16046;3,7695395946502686;0,012610000000000001;8;3;;1,0;;1,0;1,0;1,0;746;True;True;True;764;1
django__django-16139;6,644993305206299;0,021655;10;3;;1,0;;1,0;1,0;1,0;148;True;True;True;341;1
django__django-16255;5,078315019607544;0,021715;9;3;;1,0;;1,0;1,0;1,0;52;True;True;True;237;1
django__django-16379;3,8174800872802734;0,012115;10;3;;1,0;;1,0;1,0;1,0;47;True;True;True;147;1
django__django-16527;3,968496322631836;0,01272;10;3;;1,0;;1,0;1,0;1,0;394;True;True;True;569;1
django__django-16595;6,0832741260528564;0,023925000000000002;7;3;;1,0;;1,0;1,0;1,0;681;True;True;True;940;1
django__django-16873;4,9586708545684814;0,021855;8;3;;1,0;;1,0;1,0;1,0;86;True;True;True;532;1
matplotlib__matplotlib-23964;4,732625961303711;0,024955;10;3;;1,0;;1,0;1,0;1,0;519;True;True;True;964;1
mwaskom__seaborn-3010;7,738166093826294;0,04665500000000001;9;5;;1,0;1,0;1,0;1,0;1,0;226;True;True;True;253;2
psf__requests-863;9,106097221374512;0,05313000000000001;6;5;;1,0;1,0;1,0;1,0;1,0;786;True;True;True;3229;2
pydata__xarray-5131;15,952300786972046;0,07571;7;7;;3,0;;3,0;3,0;3,0;67;True;True;True;2690;3
pytest-dev__pytest-11143;5,8771445751190186;0,03821;8;3;;1,0;;1,0;1,0;1,0;570;True;True;True;1452;1
pytest-dev__pytest-5227;6,184739589691162;0,01392;10;3;;1,0;;1,0;1,0;1,0;552;True;True;True;767;1
pytest-dev__pytest-5692;6,05010461807251;0,021705000000000002;6;3;;;1,0;1,0;1,0;1,0;638;True;True;True;1023;1
pytest-dev__pytest-7373;5,44614839553833;0,026355000000000003;8;5;;;2,0;2,0;1,0;2,0;309;True;True;True;598;2
scikit-learn__scikit-learn-10297;8,729016065597534;0,052245;7;7;;;1,0;1,0;1,0;1,0;1569;True;True;True;7796;3
scikit-learn__scikit-learn-13241;3,0179548263549805;0,01808;6;3;;;1,0;1,0;1,0;1,0;2402;True;True;True;2480;1
scikit-learn__scikit-learn-13439;2,643080234527588;0,02041;7;3;;;1,0;1,0;1,0;1,0;1073;True;True;True;2458;1
scikit-learn__scikit-learn-13496;6,070616960525513;0,03884;6;5;;1,0;;1,0;1,0;1,0;3209;True;True;True;6939;2
scikit-learn__scikit-learn-13779;12,572783946990967;0,010825000000000001;6;3;;;;;1,0;;259;False;True;True;2359;1
scikit-learn__scikit-learn-14894;3,372462034225464;0,01663;8;3;;1,0;;1,0;1,0;1,0;321;True;True;True;4049;1
scikit-learn__scikit-learn-25570;6,920548915863037;0,039020000000000006;6;3;;1,0;1,0;1,0;1,0;1,0;6357;True;True;True;7611;1
sphinx-doc__sphinx-8713;4,709763288497925;0,024605000000000005;9;3;;1,0;;1,0;1,0;1,0;111;True;True;True;1542;1
sympy__sympy-13480;2,897587776184082;0,024560000000000002;9;3;;1,0;;1,0;1,0;1,0;299;True;True;True;501;1
sympy__sympy-13647;7,195739984512329;0,042835000000000005;8;5;;2,0;;2,0;1,0;2,0;424;True;True;True;877;2
sympy__sympy-14774;3,8722431659698486;0,01303;10;3;;1,0;;1,0;1,0;1,0;584;True;True;True;1262;1
sympy__sympy-20212;14,948580026626587;0,118395;6;7;;1,0;;1,0;1,0;1,0;807;True;True;True;4718;3
sympy__sympy-24152;4,848533391952515;0,02239;10;3;;1,0;;1,0;1,0;1,0;105;True;True;True;818;1
sympy__sympy-24213;3,2239718437194824;0,014270000000000001;7;3;;1,0;;1,0;1,0;1,0;403;True;True;True;651;1
